noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_food_ms,SSCTV-RPCA,47.137611,0.991397,8.063017,4475.895305
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_food_ms,CTV-RPCA,40.787240,0.988887,17.592593,772.264329
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_food_ms,RPCA,23.313012,0.853963,127.770736,124.829667
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_lemon_slices_ms,Noisy,11.761180,0.031163,387.431442,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_lemon_slices_ms,SSCTV-RPCA,44.755926,0.988593,9.811292,4399.612789
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_lemon_slices_ms,CTV-RPCA,37.308566,0.982441,21.004132,764.801735
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_lemon_slices_ms,RPCA,28.113565,0.904852,60.451247,126.835437
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_lemons_ms,Noisy,11.758470,0.020628,333.035034,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_lemons_ms,SSCTV-RPCA,49.994217,0.993895,4.186310,4533.212444
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_lemons_ms,CTV-RPCA,43.646366,0.989637,9.038568,794.030243
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_lemons_ms,RPCA,26.031599,0.851591,75.888581,112.376417
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_peppers_ms,Noisy,11.761790,0.024711,453.681009,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_peppers_ms,SSCTV-RPCA,48.350796,0.994911,7.173254,4514.143658
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_peppers_ms,CTV-RPCA,42.184428,0.993582,15.107158,790.856994
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_peppers_ms,RPCA,23.584243,0.839943,118.906648,121.584570
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_strawberries_ms,Noisy,11.763604,0.024581,351.537848,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_strawberries_ms,SSCTV-RPCA,48.093877,0.991060,5.431934,4490.333082
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_strawberries_ms,CTV-RPCA,40.909109,0.982980,11.862661,792.798736
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_strawberries_ms,RPCA,27.466048,0.857207,53.967003,118.092998
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_sushi_ms,Noisy,11.762161,0.017814,790.871289,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_sushi_ms,SSCTV-RPCA,45.045699,0.994188,16.581997,4522.273113
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_sushi_ms,CTV-RPCA,37.710543,0.992288,42.236553,773.287617
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_sushi_ms,RPCA,23.311861,0.915434,200.301928,108.676911
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_tomatoes_ms,Noisy,11.767187,0.018539,878.759823,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_tomatoes_ms,SSCTV-RPCA,45.463010,0.993734,19.839080,4472.607057
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_tomatoes_ms,CTV-RPCA,35.933153,0.983728,62.653003,775.901723
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,fake_and_real_tomatoes_ms,RPCA,24.549783,0.916471,172.119646,118.258371
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,feathers_ms,Noisy,11.765893,0.052225,204.544284,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,feathers_ms,SSCTV-RPCA,44.549968,0.986319,5.616090,4590.127773
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,feathers_ms,CTV-RPCA,39.417325,0.987003,9.411220,801.765996
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,feathers_ms,RPCA,23.501424,0.796579,52.666903,124.162893
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,flowers_ms,Noisy,11.759084,0.038912,253.463487,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,flowers_ms,SSCTV-RPCA,46.265461,0.988968,5.735257,4630.110081
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,flowers_ms,CTV-RPCA,42.081336,0.989031,8.924927,786.057303
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,flowers_ms,RPCA,21.495282,0.851307,84.488090,121.199442
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,glass_tiles_ms,Noisy,11.763460,0.070277,226.512535,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,glass_tiles_ms,SSCTV-RPCA,40.285207,0.977744,9.147794,4398.944588
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,glass_tiles_ms,CTV-RPCA,33.481467,0.980273,18.211345,753.688225
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,glass_tiles_ms,RPCA,23.045346,0.816837,60.448364,122.407637
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,hairs_ms,Noisy,11.755032,0.030740,270.080682,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,hairs_ms,SSCTV-RPCA,45.770577,0.990395,5.830878,4520.637218
